,r,p,t,I
0,1,1,1,50.0
1,1,1,2,50.0
2,1,1,3,50.0
3,1,1,4,50.0
4,1,1,5,50.0
5,1,1,6,50.0
6,1,1,7,50.0
7,1,1,8,50.0
8,1,1,9,50.0
9,1,1,10,50.0
10,1,1,11,50.0
11,1,1,12,50.0
12,1,1,13,50.0
13,1,1,14,50.0
14,1,1,15,50.0
15,1,1,16,50.0
16,1,1,17,50.0
17,1,1,18,50.0
18,1,1,19,50.0
19,1,1,20,50.0
20,1,1,21,50.0
21,1,1,22,50.0
22,1,1,23,50.0
23,1,1,24,50.0
24,1,1,25,50.0
25,1,1,26,50.0
26,1,1,27,50.0
27,1,1,28,50.0
28,1,1,29,50.0
29,1,1,30,50.0
30,1,2,1,50.0
31,1,2,2,50.0
32,1,2,3,50.0
33,1,2,4,50.0
34,1,2,5,50.0
35,1,2,6,50.0
36,1,2,7,50.0
37,1,2,8,50.0
38,1,2,9,50.0
39,1,2,10,50.0
40,1,2,11,50.0
41,1,2,12,50.0
42,1,2,13,50.0
43,1,2,14,50.0
44,1,2,15,50.0
45,1,2,16,50.0
46,1,2,17,50.0
47,1,2,18,50.0
48,1,2,19,50.0
49,1,2,20,50.0
50,1,2,21,50.0
51,1,2,22,50.0
52,1,2,23,50.0
53,1,2,24,50.0
54,1,2,25,50.0
55,1,2,26,50.0
56,1,2,27,50.0
57,1,2,28,50.0
58,1,2,29,50.0
59,1,2,30,50.0
60,1,3,1,50.0
61,1,3,2,50.0
62,1,3,3,50.0
63,1,3,4,50.0
64,1,3,5,50.0
65,1,3,6,50.0
66,1,3,7,50.0
67,1,3,8,50.0
68,1,3,9,50.0
69,1,3,10,50.0
70,1,3,11,50.0
71,1,3,12,50.0
72,1,3,13,50.0
73,1,3,14,50.0
74,1,3,15,50.0
75,1,3,16,50.0
76,1,3,17,50.0
77,1,3,18,50.0
78,1,3,19,50.0
79,1,3,20,50.0
80,1,3,21,50.0
81,1,3,22,50.0
82,1,3,23,50.0
83,1,3,24,50.0
84,1,3,25,50.0
85,1,3,26,50.0
86,1,3,27,50.0
87,1,3,28,50.0
88,1,3,29,50.0
89,1,3,30,50.0
90,1,4,1,50.0
91,1,4,2,50.0
92,1,4,3,50.0
93,1,4,4,50.0
94,1,4,5,50.0
95,1,4,6,50.0
96,1,4,7,50.0
97,1,4,8,50.0
98,1,4,9,50.0
99,1,4,10,50.0
100,1,4,11,50.0
101,1,4,12,50.0
102,1,4,13,50.0
103,1,4,14,50.0
104,1,4,15,50.0
105,1,4,16,50.0
106,1,4,17,50.0
107,1,4,18,50.0
108,1,4,19,50.0
109,1,4,20,50.0
110,1,4,21,50.0
111,1,4,22,50.0
112,1,4,23,50.0
113,1,4,24,50.0
114,1,4,25,50.0
115,1,4,26,50.0
116,1,4,27,50.0
117,1,4,28,50.0
118,1,4,29,50.0
119,1,4,30,50.0
120,2,1,1,50.0
121,2,1,2,50.0
122,2,1,3,50.0
123,2,1,4,50.0
124,2,1,5,50.0
125,2,1,6,50.0
126,2,1,7,50.0
127,2,1,8,50.0
128,2,1,9,50.0
129,2,1,10,50.0
130,2,1,11,50.0
131,2,1,12,50.0
132,2,1,13,50.0
133,2,1,14,50.0
134,2,1,15,50.0
135,2,1,16,50.0
136,2,1,17,50.0
137,2,1,18,50.0
138,2,1,19,50.0
139,2,1,20,50.0
140,2,1,21,50.0
141,2,1,22,50.0
142,2,1,23,50.0
143,2,1,24,50.0
144,2,1,25,50.0
145,2,1,26,50.0
146,2,1,27,50.0
147,2,1,28,50.0
148,2,1,29,50.0
149,2,1,30,50.0
150,2,2,1,50.0
151,2,2,2,50.0
152,2,2,3,50.0
153,2,2,4,50.0
154,2,2,5,50.0
155,2,2,6,50.0
156,2,2,7,50.0
157,2,2,8,50.0
158,2,2,9,50.0
159,2,2,10,50.0
160,2,2,11,50.0
161,2,2,12,50.0
162,2,2,13,50.0
163,2,2,14,50.0
164,2,2,15,50.0
165,2,2,16,50.0
166,2,2,17,50.0
167,2,2,18,50.0
168,2,2,19,50.0
169,2,2,20,50.0
170,2,2,21,50.0
171,2,2,22,50.0
172,2,2,23,50.0
173,2,2,24,50.0
174,2,2,25,50.0
175,2,2,26,50.0
176,2,2,27,50.0
177,2,2,28,50.0
178,2,2,29,50.0
179,2,2,30,50.0
180,2,3,1,50.0
181,2,3,2,50.0
182,2,3,3,50.0
183,2,3,4,50.0
184,2,3,5,50.0
185,2,3,6,50.0
186,2,3,7,50.0
187,2,3,8,50.0
188,2,3,9,50.0
189,2,3,10,50.0
190,2,3,11,50.0
191,2,3,12,50.0
192,2,3,13,50.0
193,2,3,14,50.0
194,2,3,15,50.0
195,2,3,16,50.0
196,2,3,17,50.0
197,2,3,18,50.0
198,2,3,19,50.0
199,2,3,20,50.0
200,2,3,21,50.0
201,2,3,22,50.0
202,2,3,23,50.0
203,2,3,24,50.0
204,2,3,25,50.0
205,2,3,26,50.0
206,2,3,27,50.0
207,2,3,28,50.0
208,2,3,29,50.0
209,2,3,30,50.0
210,2,4,1,50.0
211,2,4,2,50.0
212,2,4,3,50.0
213,2,4,4,50.0
214,2,4,5,50.0
215,2,4,6,50.0
216,2,4,7,50.0
217,2,4,8,50.0
218,2,4,9,50.0
219,2,4,10,50.0
220,2,4,11,50.0
221,2,4,12,50.0
222,2,4,13,50.0
223,2,4,14,50.0
224,2,4,15,50.0
225,2,4,16,50.0
226,2,4,17,50.0
227,2,4,18,50.0
228,2,4,19,50.0
229,2,4,20,50.0
230,2,4,21,50.0
231,2,4,22,50.0
232,2,4,23,50.0
233,2,4,24,50.0
234,2,4,25,50.0
235,2,4,26,50.0
236,2,4,27,50.0
237,2,4,28,50.0
238,2,4,29,50.0
239,2,4,30,50.0
