,i,t,z_plus
0,1,1,-0.0
1,1,2,0.0
2,1,3,0.0
3,1,4,0.0
4,1,5,0.0
5,1,6,0.0
6,1,7,0.0
7,1,8,0.0
8,1,9,0.0
9,1,10,0.0
10,1,11,0.0
11,1,12,0.0
12,1,13,0.0
13,1,14,0.0
14,1,15,-0.0
15,1,16,-0.0
16,1,17,-0.0
17,1,18,-0.0
18,1,19,-0.0
19,1,20,-0.0
20,1,21,-0.0
21,1,22,-0.0
22,1,23,-0.0
23,1,24,-0.0
24,1,25,-0.0
25,1,26,-0.0
26,1,27,-0.0
27,1,28,-0.0
28,1,29,-0.0
29,1,30,-0.0
30,2,1,-0.0
31,2,2,0.0
32,2,3,0.0
33,2,4,0.0
34,2,5,0.0
35,2,6,0.0
36,2,7,0.0
37,2,8,0.0
38,2,9,0.0
39,2,10,0.0
40,2,11,0.0
41,2,12,0.0
42,2,13,0.0
43,2,14,0.0
44,2,15,-0.0
45,2,16,-0.0
46,2,17,-0.0
47,2,18,-0.0
48,2,19,-0.0
49,2,20,-0.0
50,2,21,-0.0
51,2,22,-0.0
52,2,23,-0.0
53,2,24,-0.0
54,2,25,-0.0
55,2,26,-0.0
56,2,27,-0.0
57,2,28,-0.0
58,2,29,-0.0
59,2,30,-0.0
60,3,1,-0.0
61,3,2,0.0
62,3,3,0.0
63,3,4,0.0
64,3,5,0.0
65,3,6,0.0
66,3,7,0.0
67,3,8,0.0
68,3,9,0.0
69,3,10,0.0
70,3,11,0.0
71,3,12,0.0
72,3,13,0.0
73,3,14,0.0
74,3,15,-0.0
75,3,16,-0.0
76,3,17,-0.0
77,3,18,-0.0
78,3,19,-0.0
79,3,20,-0.0
80,3,21,-0.0
81,3,22,-0.0
82,3,23,-0.0
83,3,24,-0.0
84,3,25,-0.0
85,3,26,-0.0
86,3,27,-0.0
87,3,28,-0.0
88,3,29,-0.0
89,3,30,-0.0
90,4,1,-0.0
91,4,2,0.0
92,4,3,0.0
93,4,4,0.0
94,4,5,0.0
95,4,6,0.0
96,4,7,0.0
97,4,8,0.0
98,4,9,0.0
99,4,10,0.0
100,4,11,0.0
101,4,12,0.0
102,4,13,0.0
103,4,14,0.0
104,4,15,-0.0
105,4,16,-0.0
106,4,17,-0.0
107,4,18,-0.0
108,4,19,-0.0
109,4,20,-0.0
110,4,21,-0.0
111,4,22,-0.0
112,4,23,-0.0
113,4,24,-0.0
114,4,25,-0.0
115,4,26,-0.0
116,4,27,-0.0
117,4,28,-0.0
118,4,29,-0.0
119,4,30,-0.0
120,5,1,-0.0
121,5,2,0.0
122,5,3,0.0
123,5,4,0.0
124,5,5,0.0
125,5,6,0.0
126,5,7,0.0
127,5,8,0.0
128,5,9,0.0
129,5,10,0.0
130,5,11,0.0
131,5,12,0.0
132,5,13,0.0
133,5,14,0.0
134,5,15,-0.0
135,5,16,-0.0
136,5,17,-0.0
137,5,18,-0.0
138,5,19,-0.0
139,5,20,-0.0
140,5,21,-0.0
141,5,22,-0.0
142,5,23,-0.0
143,5,24,-0.0
144,5,25,-0.0
145,5,26,-0.0
146,5,27,-0.0
147,5,28,-0.0
148,5,29,-0.0
149,5,30,-0.0
150,6,1,-0.0
151,6,2,0.0
152,6,3,0.0
153,6,4,0.0
154,6,5,0.0
155,6,6,0.0
156,6,7,0.0
157,6,8,0.0
158,6,9,0.0
159,6,10,0.0
160,6,11,0.0
161,6,12,0.0
162,6,13,0.0
163,6,14,0.0
164,6,15,-0.0
165,6,16,-0.0
166,6,17,-0.0
167,6,18,-0.0
168,6,19,-0.0
169,6,20,-0.0
170,6,21,-0.0
171,6,22,-0.0
172,6,23,-0.0
173,6,24,-0.0
174,6,25,-0.0
175,6,26,-0.0
176,6,27,-0.0
177,6,28,-0.0
178,6,29,-0.0
179,6,30,-0.0
180,7,1,-0.0
181,7,2,0.0
182,7,3,0.0
183,7,4,0.0
184,7,5,0.0
185,7,6,0.0
186,7,7,0.0
187,7,8,0.0
188,7,9,0.0
189,7,10,0.0
190,7,11,0.0
191,7,12,0.0
192,7,13,0.0
193,7,14,0.0
194,7,15,-0.0
195,7,16,-0.0
196,7,17,-0.0
197,7,18,-0.0
198,7,19,-0.0
199,7,20,-0.0
200,7,21,-0.0
201,7,22,-0.0
202,7,23,-0.0
203,7,24,-0.0
204,7,25,-0.0
205,7,26,-0.0
206,7,27,-0.0
207,7,28,-0.0
208,7,29,-0.0
209,7,30,-0.0
210,8,1,-0.0
211,8,2,0.0
212,8,3,0.0
213,8,4,0.0
214,8,5,0.0
215,8,6,0.0
216,8,7,0.0
217,8,8,0.0
218,8,9,0.0
219,8,10,0.0
220,8,11,0.0
221,8,12,0.0
222,8,13,0.0
223,8,14,0.0
224,8,15,-0.0
225,8,16,-0.0
226,8,17,-0.0
227,8,18,-0.0
228,8,19,-0.0
229,8,20,-0.0
230,8,21,-0.0
231,8,22,-0.0
232,8,23,-0.0
233,8,24,-0.0
234,8,25,-0.0
235,8,26,-0.0
236,8,27,-0.0
237,8,28,-0.0
238,8,29,-0.0
239,8,30,-0.0
240,9,1,-0.0
241,9,2,0.0
242,9,3,0.0
243,9,4,0.0
244,9,5,0.0
245,9,6,0.0
246,9,7,0.0
247,9,8,0.0
248,9,9,0.0
249,9,10,0.0
250,9,11,0.0
251,9,12,0.0
252,9,13,0.0
253,9,14,0.0
254,9,15,-0.0
255,9,16,-0.0
256,9,17,-0.0
257,9,18,-0.0
258,9,19,-0.0
259,9,20,-0.0
260,9,21,-0.0
261,9,22,-0.0
262,9,23,-0.0
263,9,24,-0.0
264,9,25,-0.0
265,9,26,-0.0
266,9,27,-0.0
267,9,28,-0.0
268,9,29,-0.0
269,9,30,-0.0
270,10,1,-0.0
271,10,2,0.0
272,10,3,0.0
273,10,4,0.0
274,10,5,0.0
275,10,6,0.0
276,10,7,0.0
277,10,8,0.0
278,10,9,0.0
279,10,10,0.0
280,10,11,0.0
281,10,12,0.0
282,10,13,0.0
283,10,14,0.0
284,10,15,-0.0
285,10,16,-0.0
286,10,17,-0.0
287,10,18,-0.0
288,10,19,-0.0
289,10,20,-0.0
290,10,21,-0.0
291,10,22,-0.0
292,10,23,-0.0
293,10,24,-0.0
294,10,25,-0.0
295,10,26,-0.0
296,10,27,-0.0
297,10,28,-0.0
298,10,29,-0.0
299,10,30,-0.0
300,11,1,-0.0
301,11,2,0.0
302,11,3,0.0
303,11,4,0.0
304,11,5,0.0
305,11,6,0.0
306,11,7,0.0
307,11,8,0.0
308,11,9,0.0
309,11,10,0.0
310,11,11,0.0
311,11,12,0.0
312,11,13,0.0
313,11,14,0.0
314,11,15,-0.0
315,11,16,-0.0
316,11,17,-0.0
317,11,18,-0.0
318,11,19,-0.0
319,11,20,-0.0
320,11,21,-0.0
321,11,22,-0.0
322,11,23,-0.0
323,11,24,-0.0
324,11,25,-0.0
325,11,26,-0.0
326,11,27,-0.0
327,11,28,-0.0
328,11,29,-0.0
329,11,30,-0.0
330,12,1,-0.0
331,12,2,0.0
332,12,3,0.0
333,12,4,0.0
334,12,5,0.0
335,12,6,0.0
336,12,7,0.0
337,12,8,0.0
338,12,9,0.0
339,12,10,0.0
340,12,11,0.0
341,12,12,0.0
342,12,13,0.0
343,12,14,0.0
344,12,15,-0.0
345,12,16,-0.0
346,12,17,-0.0
347,12,18,-0.0
348,12,19,-0.0
349,12,20,-0.0
350,12,21,-0.0
351,12,22,-0.0
352,12,23,-0.0
353,12,24,-0.0
354,12,25,-0.0
355,12,26,-0.0
356,12,27,-0.0
357,12,28,-0.0
358,12,29,-0.0
359,12,30,-0.0
360,13,1,-0.0
361,13,2,0.0
362,13,3,0.0
363,13,4,0.0
364,13,5,0.0
365,13,6,0.0
366,13,7,0.0
367,13,8,0.0
368,13,9,0.0
369,13,10,0.0
370,13,11,0.0
371,13,12,0.0
372,13,13,0.0
373,13,14,0.0
374,13,15,-0.0
375,13,16,-0.0
376,13,17,-0.0
377,13,18,-0.0
378,13,19,-0.0
379,13,20,-0.0
380,13,21,-0.0
381,13,22,-0.0
382,13,23,-0.0
383,13,24,-0.0
384,13,25,-0.0
385,13,26,-0.0
386,13,27,-0.0
387,13,28,-0.0
388,13,29,-0.0
389,13,30,-0.0
390,14,1,-0.0
391,14,2,0.0
392,14,3,0.0
393,14,4,0.0
394,14,5,0.0
395,14,6,0.0
396,14,7,0.0
397,14,8,0.0
398,14,9,0.0
399,14,10,0.0
400,14,11,0.0
401,14,12,0.0
402,14,13,0.0
403,14,14,0.0
404,14,15,-0.0
405,14,16,-0.0
406,14,17,-0.0
407,14,18,-0.0
408,14,19,-0.0
409,14,20,-0.0
410,14,21,-0.0
411,14,22,-0.0
412,14,23,-0.0
413,14,24,-0.0
414,14,25,-0.0
415,14,26,-0.0
416,14,27,-0.0
417,14,28,-0.0
418,14,29,-0.0
419,14,30,-0.0
420,15,1,-0.0
421,15,2,0.0
422,15,3,0.0
423,15,4,0.0
424,15,5,0.0
425,15,6,0.0
426,15,7,0.0
427,15,8,0.0
428,15,9,0.0
429,15,10,0.0
430,15,11,0.0
431,15,12,0.0
432,15,13,0.0
433,15,14,0.0
434,15,15,-0.0
435,15,16,-0.0
436,15,17,-0.0
437,15,18,-0.0
438,15,19,-0.0
439,15,20,-0.0
440,15,21,-0.0
441,15,22,-0.0
442,15,23,-0.0
443,15,24,-0.0
444,15,25,-0.0
445,15,26,-0.0
446,15,27,-0.0
447,15,28,-0.0
448,15,29,-0.0
449,15,30,-0.0
